
[00:00:00.000 --> 00:00:01.130]   Good evening
[00:10:36.330 --> 00:10:37.090]   attacked our
[00:10:37.090 --> 00:10:38.400]   troops nearly
[00:10:38.400 --> 00:10:40.510]   200 times since
[00:10:40.510 --> 00:10:41.800]   October,
[00:10:41.800 --> 00:10:43.040]   killing three
[00:10:43.040 --> 00:10:44.270]   US soldiers and
[00:10:44.270 --> 00:10:47.710]   two Navy SEALs.
[00:10:47.710 --> 00:10:48.120]   Meanwhile,
[00:10:48.120 --> 00:10:49.190]   the Chinese
[00:10:49.190 --> 00:10:50.550]   Communist Party
[00:10:50.550 --> 00:10:52.140]   is undercutting
[00:10:52.140 --> 00:10:53.070]   America's
[00:10:53.070 --> 00:10:55.240]   workers. China
[00:10:55.240 --> 00:10:56.280]   is buying up
[00:10:56.280 --> 00:10:57.370]   our farmland,
[00:10:57.370 --> 00:10:58.370]   spying on our
[00:10:58.370 --> 00:10:58.990]   military
[00:10:58.990 --> 00:11:00.070]   installations
[00:11:00.070 --> 00:11:01.130]   and spreading
[00:11:01.130 --> 00:11:01.960]   propaganda
[00:11:01.960 --> 00:11:02.960]   through the
[00:11:02.960 --> 00:11:04.190]   likes of TikTok
[00:11:04.190 --> 00:11:06.650]  . You see, the
[00:11:06.650 --> 00:11:08.970]   CCP knows that
[00:11:08.970 --> 00:11:10.980]   if it conquers
[00:11:10.980 --> 00:11:11.360]   the
[00:11:11.360 --> 00:11:13.200]   minds of our
[00:11:13.200 --> 00:11:15.960]   next generation
[00:11:15.960 --> 00:11:17.910]  , it conquers
[00:11:17.910 --> 00:11:20.510]   America. And
[00:11:20.510 --> 00:11:21.240]   what does
[00:11:21.240 --> 00:11:22.160]   President Biden
[00:11:22.160 --> 00:11:23.540]   do? Well, he
[00:11:23.540 --> 00:11:25.120]   bans TikTok for
[00:11:25.120 --> 00:11:26.210]   government
[00:11:26.210 --> 00:11:27.800]   employees, but
[00:11:27.800 --> 00:11:29.120]   creates an
[00:11:29.120 --> 00:11:29.960]   account for
[00:11:29.960 --> 00:11:30.580]   his own
[00:11:30.580 --> 00:11:32.230]   campaign. Y'all
[00:11:32.230 --> 00:11:33.540]  , you can't make
[00:11:33.540 --> 00:11:34.920]   this stuff up.
[00:11:34.920 --> 00:11:36.970]   Look, we all
[00:11:36.970 --> 00:11:38.400]   recall when
[00:11:38.400 --> 00:11:39.400]   presidents
[00:11:39.400 --> 00:11:40.300]   faced national
[00:11:40.300 --> 00:11:40.980]   security
[00:11:40.980 --> 00:11:41.890]   threats with
[00:11:41.890 --> 00:11:42.810]   strength and
[00:11:42.810 --> 00:11:44.720]   resolve. That
[00:11:44.720 --> 00:11:46.120]   seems like
[00:11:46.120 --> 00:11:47.930]   ancient history
[00:11:47.930 --> 00:11:50.270]  . Right now, our
[00:11:50.270 --> 00:11:51.440]   commander in
[00:11:51.440 --> 00:11:54.230]   chief is not in
[00:11:54.230 --> 00:11:56.560]   command. The
[00:11:56.560 --> 00:11:56.880]   free
[00:11:56.880 --> 00:11:58.350]   world deserves
[00:11:58.350 --> 00:11:59.870]   better than a d
[00:11:59.870 --> 00:12:00.960]  ithering and
[00:12:00.960 --> 00:12:02.100]   diminished
[00:12:02.100 --> 00:12:04.400]   leader. America
[00:12:04.400 --> 00:12:04.960]   deserves
[00:12:04.960 --> 00:12:05.910]   leaders who
[00:12:05.910 --> 00:12:07.150]   recognize that
[00:12:07.150 --> 00:12:08.830]   secure borders,
[00:12:08.830 --> 00:12:09.930]   stable prices,
[00:12:09.930 --> 00:12:11.720]   safe streets
[00:12:11.720 --> 00:12:13.120]   and a strong
[00:12:13.120 --> 00:12:14.530]   defense are
[00:12:14.530 --> 00:12:16.140]   actually the
[00:12:16.140 --> 00:12:18.040]   cornerstones of
[00:12:18.040 --> 00:12:20.200]   a great nation.
[00:12:20.200 --> 00:12:21.520]   Just ask
[00:12:21.520 --> 00:12:22.960]   yourself, are
[00:12:22.960 --> 00:12:23.240]   you
[00:12:23.240 --> 00:12:25.040]   better off now
[00:12:25.040 --> 00:12:26.690]   than you were
[00:12:26.690 --> 00:12:28.640]   three years ago
[00:12:28.640 --> 00:12:29.120]  ?
[00:12:29.840 --> 00:12:30.970]   There's no
[00:12:30.970 --> 00:12:32.600]   doubt we're at
[00:12:32.600 --> 00:12:34.190]   a crossroads
[00:12:34.190 --> 00:12:35.480]   and it doesn't
[00:12:35.480 --> 00:12:36.920]   have to be this
[00:12:36.920 --> 00:12:38.960]   way. We all
[00:12:38.960 --> 00:12:41.560]   feel it. But
[00:12:41.560 --> 00:12:42.480]   here's the good
[00:12:42.480 --> 00:12:44.610]   news. We, the
[00:12:44.610 --> 00:12:45.740]   people, are
[00:12:45.740 --> 00:12:46.850]   still in the
[00:12:46.850 --> 00:12:47.800]   driver's seat.
[00:12:47.800 --> 00:12:48.640]   We get to
[00:12:48.640 --> 00:12:49.930]   decide whether
[00:12:49.930 --> 00:12:51.310]   our future will
[00:12:51.310 --> 00:12:52.860]   grow brighter
[00:12:52.860 --> 00:12:53.380]   or whether we
[00:12:53.380 --> 00:12:54.000]  'll settle
[00:12:54.000 --> 00:12:55.700]   for an America
[00:12:55.700 --> 00:12:57.180]   in decline.
[00:12:57.180 --> 00:12:58.630]   Well, I know
[00:12:58.630 --> 00:13:00.100]   which choice
[00:13:00.100 --> 00:13:01.640]   our children
[00:13:01.640 --> 00:13:03.320]   deserve and I
[00:13:03.320 --> 00:13:04.330]   know the choice
[00:13:04.330 --> 00:13:05.330]   the Republican
[00:13:05.330 --> 00:13:05.890]   Party is
[00:13:05.890 --> 00:13:06.830]   fighting for.
[00:13:06.830 --> 00:13:08.120]   We are the
[00:13:08.120 --> 00:13:09.720]   party of hard
[00:13:09.720 --> 00:13:11.360]   working parents
[00:13:11.360 --> 00:13:12.650]   and families
[00:13:12.650 --> 00:13:13.930]   and we want to
[00:13:13.930 --> 00:13:15.100]   give you and
[00:13:15.100 --> 00:13:16.560]   your children
[00:13:16.560 --> 00:13:17.080]   the
[00:13:17.080 --> 00:13:18.640]   opportunities
[00:13:18.640 --> 00:13:20.010]   to thrive and
[00:13:20.010 --> 00:13:20.990]   we want
[00:13:20.990 --> 00:13:22.290]   families to
[00:13:22.290 --> 00:13:24.120]   grow. It's why
[00:13:24.120 --> 00:13:25.240]   we strongly
[00:13:25.240 --> 00:13:25.880]   support
[00:13:25.880 --> 00:13:26.710]   continued
[00:13:26.710 --> 00:13:27.630]   nationwide
[00:13:27.630 --> 00:13:28.540]   access to in
[00:13:28.540 --> 00:13:29.550]   vitro fertil
[00:13:29.550 --> 00:13:31.410]  ization. We want
[00:13:31.410 --> 00:13:32.040]   to help
[00:13:32.040 --> 00:13:33.530]   loving moms and
[00:13:33.530 --> 00:13:34.570]   dads bring
[00:13:34.570 --> 00:13:36.110]   precious life
[00:13:36.110 --> 00:13:37.450]   into this world
[00:13:37.450 --> 00:13:39.120]  . Wesley and I
[00:13:39.120 --> 00:13:39.400]   believe
[00:13:39.400 --> 00:13:40.210]   there is no
[00:13:40.210 --> 00:13:40.850]   greater
[00:13:40.850 --> 00:13:41.750]   blessing in
[00:13:41.750 --> 00:13:42.750]   life than our
[00:13:42.750 --> 00:13:44.450]   children and
[00:13:44.450 --> 00:13:45.120]   that's why
[00:13:45.120 --> 00:13:45.840]   tonight I
[00:13:45.840 --> 00:13:46.990]   want to make a
[00:13:46.990 --> 00:13:48.250]   direct appeal
[00:13:48.250 --> 00:13:49.500]   to the parents
[00:13:49.500 --> 00:13:50.640]   out there and
[00:13:50.640 --> 00:13:51.960]   in particular
[00:13:51.960 --> 00:13:52.440]   to
[00:13:52.440 --> 00:13:54.200]   my fellow moms.
[00:13:54.200 --> 00:13:55.220]   Many of whom I
[00:13:55.220 --> 00:13:56.900]   know will be up
[00:13:56.900 --> 00:13:57.620]   tossing and
[00:13:57.620 --> 00:13:58.750]   turning at 2 a.
[00:13:58.750 --> 00:13:59.080]  m.
[00:13:59.080 --> 00:14:00.170]   wondering how
[00:14:00.170 --> 00:14:01.410]   you're going to
[00:14:01.410 --> 00:14:02.170]   be in three
[00:14:02.170 --> 00:14:03.490]   places at once
[00:14:03.490 --> 00:14:03.840]   and then
[00:14:03.840 --> 00:14:04.440]   somehow
[00:14:04.440 --> 00:14:05.510]   still get
[00:14:05.510 --> 00:14:06.990]   dinner on the
[00:14:06.990 --> 00:14:08.940]   table. First of
[00:14:08.940 --> 00:14:10.740]   all, we see you
[00:14:10.740 --> 00:14:14.220]  . We hear you
[00:14:14.220 --> 00:14:16.320]   and we stand
[00:14:16.320 --> 00:14:18.200]   with you. I
[00:14:18.200 --> 00:14:20.890]   know you're
[00:14:20.890 --> 00:14:23.320]   frustrated. I
[00:14:23.320 --> 00:14:23.740]   know you're
[00:14:23.740 --> 00:14:24.000]   probably
[00:14:24.000 --> 00:14:24.900]   disgusted by
[00:14:24.900 --> 00:14:25.440]   most of
[00:14:25.440 --> 00:14:25.950]   what you see
[00:14:25.950 --> 00:14:26.410]   going on in
[00:14:26.410 --> 00:14:27.080]   Washington and
[00:14:27.080 --> 00:14:27.690]   I'll be really
[00:14:27.690 --> 00:14:28.440]   honest with you
[00:14:28.440 --> 00:14:29.280]  . You're
[00:14:29.280 --> 00:14:29.940]   not wrong for
[00:14:29.940 --> 00:14:30.590]   feeling that
[00:14:30.590 --> 00:14:31.380]   way. Look, I
[00:14:31.380 --> 00:14:32.370]   get it. The
[00:14:32.370 --> 00:14:33.260]   task in front
[00:14:33.260 --> 00:14:34.240]   of us isn't an
[00:14:34.240 --> 00:14:35.080]   easy one but I
[00:14:35.080 --> 00:14:36.010]   can promise you
[00:14:36.010 --> 00:14:37.430]   one thing. It
[00:14:37.430 --> 00:14:40.310]   is worth it. So
[00:14:40.310 --> 00:14:41.600]   I am asking you
[00:14:41.600 --> 00:14:41.840]   for
[00:14:41.840 --> 00:14:42.680]   the sake of
[00:14:42.680 --> 00:14:43.840]   your kids and
[00:14:43.840 --> 00:14:45.640]   your grandkids.
[00:14:45.640 --> 00:14:47.240]   Get into the
[00:14:47.240 --> 00:14:49.800]   arena. Every
[00:14:49.800 --> 00:14:51.100]   generation has
[00:14:51.100 --> 00:14:52.300]   been called to
[00:14:52.300 --> 00:14:54.260]   do hard things.
[00:14:54.260 --> 00:14:54.750]   American
[00:14:54.750 --> 00:14:56.340]   greatness rests
[00:14:56.340 --> 00:14:56.800]   in the
[00:14:56.800 --> 00:14:58.980]   fact that we
[00:14:58.980 --> 00:15:00.600]   always answer
[00:15:00.600 --> 00:15:03.180]   that call. It's
[00:15:03.180 --> 00:15:05.930]   who we are.
[00:15:05.930 --> 00:15:07.950]   Never forget we
[00:15:07.950 --> 00:15:08.880]   are steeped
[00:15:08.880 --> 00:15:10.160]   in the blood of
[00:15:10.160 --> 00:15:11.770]   patriots who
[00:15:11.770 --> 00:15:12.630]   overthrew the
[00:15:12.630 --> 00:15:14.240]   most powerful
[00:15:14.240 --> 00:15:15.520]   empire in the
[00:15:15.520 --> 00:15:17.680]   world. We
[00:15:17.680 --> 00:15:18.650]   walk in the
[00:15:18.650 --> 00:15:19.620]   footsteps of
[00:15:19.620 --> 00:15:20.790]   pioneers who t
[00:15:20.790 --> 00:15:22.720]  amed the wild.
[00:15:22.720 --> 00:15:24.000]   We now carry
[00:15:24.000 --> 00:15:25.080]   forward the
[00:15:25.080 --> 00:15:26.130]   same flame of
[00:15:26.130 --> 00:15:27.270]   freedom as the
[00:15:27.270 --> 00:15:28.480]   liberators of
[00:15:28.480 --> 00:15:29.280]   an oppressed
[00:15:29.280 --> 00:15:30.840]   Europe. We
[00:15:30.840 --> 00:15:31.840]   continue to
[00:15:31.840 --> 00:15:33.440]   draw courage
[00:15:33.440 --> 00:15:34.690]   from those who
[00:15:34.690 --> 00:15:36.150]   bent the moral
[00:15:36.150 --> 00:15:36.840]   arc of the
[00:15:36.840 --> 00:15:38.350]   universe and
[00:15:38.350 --> 00:15:38.840]   when we
[00:15:38.840 --> 00:15:40.100]   gaze upon the
[00:15:40.100 --> 00:15:41.680]   heavens, never
[00:15:41.680 --> 00:15:43.220]   forget that our
[00:15:43.220 --> 00:15:44.400]   DNA contains
[00:15:44.400 --> 00:15:45.150]   the same
[00:15:45.150 --> 00:15:46.600]   ingenuity that
[00:15:46.600 --> 00:15:48.430]   put man on the
[00:15:48.430 --> 00:15:50.740]   moon. America
[00:15:50.740 --> 00:15:52.900]   has been tested
[00:15:52.900 --> 00:15:54.540]   before and
[00:15:54.540 --> 00:15:55.780]   every single
[00:15:55.780 --> 00:15:57.240]   time we've
[00:15:57.240 --> 00:15:58.980]   emerged unbound
[00:15:58.980 --> 00:16:00.580]   and unbroken.
[00:16:00.580 --> 00:16:02.310]   Our history has
[00:16:02.310 --> 00:16:03.680]   been written
[00:16:03.680 --> 00:16:05.000]   with the grit
[00:16:05.000 --> 00:16:06.040]   of men
[00:16:06.040 --> 00:16:07.430]   and women who
[00:16:07.430 --> 00:16:08.700]   got knocked
[00:16:08.700 --> 00:16:10.350]   down but we
[00:16:10.350 --> 00:16:10.980]   know their
[00:16:10.980 --> 00:16:12.650]   stories because
[00:16:12.650 --> 00:16:13.720]   they did not
[00:16:13.720 --> 00:16:15.890]   stay down. We
[00:16:15.890 --> 00:16:17.050]   are here
[00:16:17.050 --> 00:16:19.170]   because they
[00:16:19.170 --> 00:16:23.000]   stood back up.
[00:16:23.000 --> 00:16:24.540]   So now it's our
[00:16:24.540 --> 00:16:25.880]   turn, our
[00:16:25.880 --> 00:16:27.070]   moment to stand
[00:16:27.070 --> 00:16:27.970]   up and prove
[00:16:27.970 --> 00:16:28.840]   ourselves
[00:16:28.840 --> 00:16:29.530]   worthy of
[00:16:29.530 --> 00:16:30.760]   protecting the
[00:16:30.760 --> 00:16:32.280]   American dream.
[00:16:32.280 --> 00:16:34.070]   Together we can
[00:16:34.070 --> 00:16:35.680]   reawaken the
[00:16:35.680 --> 00:16:37.270]   heroic spirit
[00:16:37.270 --> 00:16:38.200]   of a great
[00:16:38.200 --> 00:16:40.440]   nation. Because
[00:16:40.440 --> 00:16:42.600]   America, we
[00:16:42.600 --> 00:16:43.610]   don't just have
[00:16:43.610 --> 00:16:44.470]   around the view
[00:16:44.470 --> 00:16:45.480]   with destiny.
[00:16:45.480 --> 00:16:47.490]   We take destiny
[00:16:47.490 --> 00:16:48.600]  's hand and we
[00:16:48.600 --> 00:16:50.450]   lead it. Our
[00:16:50.450 --> 00:16:51.470]   future starts
[00:16:51.470 --> 00:16:52.990]   around kitchen
[00:16:52.990 --> 00:16:54.940]   tables just
[00:16:54.940 --> 00:16:57.160]   like this with
[00:16:57.160 --> 00:16:57.960]   moms and dads
[00:16:57.960 --> 00:17:00.210]   just like you
[00:17:00.210 --> 00:17:02.600]   and you are why
[00:17:02.600 --> 00:17:05.180]   I believe with
[00:17:05.180 --> 00:17:07.110]   every fiber of
[00:17:07.110 --> 00:17:09.120]   my being that
[00:17:09.120 --> 00:17:09.640]   despite
[00:17:09.640 --> 00:17:11.230]   the current
[00:17:11.230 --> 00:17:12.530]   state of our
[00:17:12.530 --> 00:17:14.610]   union, our best
[00:17:14.610 --> 00:17:16.390]   days are still
[00:17:16.390 --> 00:17:18.690]   ahead. May God
[00:17:18.690 --> 00:17:19.720]   bless you
[00:17:19.720 --> 00:17:21.250]   and may God
[00:17:21.250 --> 00:17:23.140]   continue to
[00:17:23.140 --> 00:17:24.740]   bless these
[00:17:24.740 --> 00:17:26.680]   United States
[00:17:26.680 --> 00:17:28.280]   of America.
[00:17:28.280 --> 00:17:30.520]   (buzzer)
[00:17:30.520 --> 00:17:32.520]   [ Pause ]

