
[00:00:00.000 --> 00:00:00.120]  
[00:00:00.120 --> 00:00:00.850]   Good
[00:03:56.650 --> 00:03:56.790]   I
[00:03:56.790 --> 00:03:58.050]   took
[00:03:58.050 --> 00:03:58.220]   office
[00:03:58.220 --> 00:03:58.560]  ,
[00:03:58.560 --> 00:03:58.640]   I
[00:03:58.640 --> 00:03:58.960]   took
[00:03:58.960 --> 00:03:59.670]   a
[00:03:59.670 --> 00:04:00.720]   different
[00:04:00.720 --> 00:04:01.180]   approach
[00:04:01.180 --> 00:04:01.350]  .
[00:04:01.350 --> 00:04:01.900]   I
[00:04:01.900 --> 00:04:02.120]   traveled
[00:04:02.120 --> 00:04:02.290]   to
[00:04:02.290 --> 00:04:02.560]   the
[00:04:02.560 --> 00:04:02.830]   Del
[00:04:02.830 --> 00:04:03.100]   Rio
[00:04:03.100 --> 00:04:03.650]   sector
[00:04:03.650 --> 00:04:03.830]   of
[00:04:03.830 --> 00:04:04.290]   Texas
[00:04:04.290 --> 00:04:04.550]  .
[00:04:04.550 --> 00:04:05.100]   That
[00:04:05.100 --> 00:04:05.170]  's
[00:04:05.170 --> 00:04:05.560]   where
[00:04:05.560 --> 00:04:05.650]   I
[00:04:05.650 --> 00:04:06.100]   spoke
[00:04:06.100 --> 00:04:06.380]   to
[00:04:06.380 --> 00:04:06.390]   a
[00:04:06.390 --> 00:04:06.840]   woman
[00:04:06.840 --> 00:04:07.110]   who
[00:04:07.110 --> 00:04:07.660]   shared
[00:04:07.660 --> 00:04:08.000]   her
[00:04:08.000 --> 00:04:08.400]   story
[00:04:08.400 --> 00:04:08.790]   with
[00:04:08.790 --> 00:04:08.980]   me
[00:04:08.980 --> 00:04:09.290]  .
[00:04:09.290 --> 00:04:09.600]   She
[00:04:09.600 --> 00:04:09.900]   had
[00:04:09.900 --> 00:04:10.400]   been
[00:04:10.400 --> 00:04:10.600]   sex
[00:04:10.600 --> 00:04:11.090]   traff
[00:04:11.090 --> 00:04:11.600]  icked
[00:04:11.600 --> 00:04:11.840]   by
[00:04:11.840 --> 00:04:12.100]   the
[00:04:12.100 --> 00:04:12.880]   cartels
[00:04:12.880 --> 00:04:13.800]   starting
[00:04:13.800 --> 00:04:14.030]   at
[00:04:14.030 --> 00:04:14.370]   the
[00:04:14.370 --> 00:04:14.710]   age
[00:04:14.710 --> 00:04:14.960]   of
[00:04:14.960 --> 00:04:15.490]   12
[00:04:15.490 --> 00:04:15.880]  .
[00:04:15.880 --> 00:04:16.720]   She
[00:04:16.720 --> 00:04:16.770]   told
[00:04:16.770 --> 00:04:17.070]   me
[00:04:17.070 --> 00:04:17.320]   not
[00:04:17.320 --> 00:04:17.800]   just
[00:04:17.800 --> 00:04:18.360]   that
[00:04:18.360 --> 00:04:18.640]   she
[00:04:18.640 --> 00:04:18.990]   was
[00:04:18.990 --> 00:04:19.600]   raped
[00:04:19.600 --> 00:04:20.200]   every
[00:04:20.200 --> 00:04:20.560]   day
[00:04:20.560 --> 00:04:20.870]  ,
[00:04:20.870 --> 00:04:21.480]   but
[00:04:21.480 --> 00:04:21.740]   how
[00:04:21.740 --> 00:04:22.090]   many
[00:04:22.090 --> 00:04:22.720]   times
[00:04:22.720 --> 00:04:22.910]   a
[00:04:22.910 --> 00:04:23.480]   day
[00:04:23.480 --> 00:04:24.160]   she
[00:04:24.160 --> 00:04:24.160]  
[00:04:24.160 --> 00:04:24.590]   was
[00:04:24.590 --> 00:04:25.260]   raped
[00:04:25.260 --> 00:04:25.740]  .
[00:04:25.740 --> 00:04:26.760]   The
[00:04:26.760 --> 00:04:27.170]   cartels
[00:04:27.170 --> 00:04:27.750]   put
[00:04:27.750 --> 00:04:28.030]   her
[00:04:28.030 --> 00:04:28.310]   on
[00:04:28.310 --> 00:04:28.450]   a
[00:04:28.450 --> 00:04:29.880]   mattress
[00:04:29.880 --> 00:04:29.900]   in
[00:04:29.900 --> 00:04:30.080]   a
[00:04:30.080 --> 00:04:30.370]   sho
[00:04:30.370 --> 00:04:30.560]  eb
[00:04:30.560 --> 00:04:30.760]  ox
[00:04:30.760 --> 00:04:31.020]   of
[00:04:31.020 --> 00:04:31.120]   a
[00:04:31.120 --> 00:04:31.460]   room
[00:04:31.460 --> 00:04:31.680]  ,
[00:04:31.680 --> 00:04:32.680]   and
[00:04:32.680 --> 00:04:32.960]   they
[00:04:32.960 --> 00:04:33.610]   sent
[00:04:33.610 --> 00:04:34.500]   men
[00:04:34.500 --> 00:04:35.240]   through
[00:04:35.240 --> 00:04:35.890]   that
[00:04:35.890 --> 00:04:36.700]   door
[00:04:36.700 --> 00:04:37.190]   over
[00:04:37.190 --> 00:04:37.680]   and
[00:04:37.680 --> 00:04:38.330]   over
[00:04:38.330 --> 00:04:39.510]   again
[00:04:39.510 --> 00:04:39.640]   for
[00:04:39.640 --> 00:04:40.460]   hours
[00:04:40.460 --> 00:04:40.950]   and
[00:04:40.950 --> 00:04:41.740]   hours
[00:04:41.740 --> 00:04:42.160]   on
[00:04:42.160 --> 00:04:43.190]   end
[00:04:43.190 --> 00:04:44.320]  .
[00:04:44.320 --> 00:04:44.940]   We
[00:04:44.940 --> 00:04:45.160]   wouldn
[00:04:45.160 --> 00:04:45.250]  't
[00:04:45.250 --> 00:04:45.430]   be
[00:04:45.430 --> 00:04:45.810]   okay
[00:04:45.810 --> 00:04:46.250]   with
[00:04:46.250 --> 00:04:46.550]   this
[00:04:46.550 --> 00:04:47.400]   happening
[00:04:47.400 --> 00:04:47.590]   in
[00:04:47.590 --> 00:04:47.910]   a
[00:04:47.910 --> 00:04:48.150]   third
[00:04:48.150 --> 00:04:48.680]   world
[00:04:48.680 --> 00:04:49.640]   country
[00:04:49.640 --> 00:04:50.890]  .
[00:04:50.890 --> 00:04:51.080]   This
[00:04:51.080 --> 00:04:51.240]   is
[00:04:51.240 --> 00:04:51.480]   the
[00:04:51.480 --> 00:04:51.480]  
[00:04:51.480 --> 00:04:52.180]   United
[00:04:52.180 --> 00:04:52.580]   States
[00:04:52.580 --> 00:04:52.690]   of
[00:04:52.690 --> 00:04:53.290]   America
[00:04:53.290 --> 00:04:53.470]  ,
[00:04:53.470 --> 00:04:53.900]   and
[00:04:53.900 --> 00:04:53.930]   it
[00:04:53.930 --> 00:04:54.070]   is
[00:04:54.070 --> 00:04:54.440]   past
[00:04:54.440 --> 00:04:54.680]  ime
[00:04:54.680 --> 00:04:54.850]  ,
[00:04:54.850 --> 00:04:55.020]   in
[00:04:55.020 --> 00:04:55.240]   my
[00:04:55.240 --> 00:04:55.800]   opinion
[00:04:55.800 --> 00:04:56.040]  ,
[00:04:56.040 --> 00:04:56.570]   that
[00:04:56.570 --> 00:04:56.840]   we
[00:04:56.840 --> 00:04:57.160]   start
[00:04:57.160 --> 00:04:57.640]   acting
[00:04:57.640 --> 00:04:58.230]   like
[00:04:58.230 --> 00:04:59.020]   it
[00:04:59.020 --> 00:05:00.240]  .
[00:05:00.240 --> 00:05:00.980]   President
[00:05:00.980 --> 00:05:01.260]   Biden
[00:05:01.260 --> 00:05:01.480]  's
[00:05:01.480 --> 00:05:02.340]   border
[00:05:02.340 --> 00:05:03.070]   policies
[00:05:03.070 --> 00:05:03.860]   are
[00:05:03.860 --> 00:05:04.140]   a
[00:05:04.140 --> 00:05:05.160]   disgrace
[00:05:05.160 --> 00:05:06.000]  .
[00:05:06.000 --> 00:05:06.120]   This
[00:05:06.120 --> 00:05:06.920]   crisis
[00:05:06.920 --> 00:05:06.960]   is
[00:05:06.960 --> 00:05:08.010]   despicable
[00:05:08.010 --> 00:05:08.130]  ,
[00:05:08.130 --> 00:05:08.810]   and
[00:05:08.810 --> 00:05:08.830]   the
[00:05:08.830 --> 00:05:09.370]   truth
[00:05:09.370 --> 00:05:09.640]   is
[00:05:09.640 --> 00:05:09.770]   it
[00:05:09.770 --> 00:05:10.060]   is
[00:05:10.060 --> 00:05:10.610]   almost
[00:05:10.610 --> 00:05:11.480]   entirely
[00:05:11.480 --> 00:05:13.320]   prevent
[00:05:13.320 --> 00:05:14.360]  able
[00:05:14.360 --> 00:05:14.440]  .
[00:05:14.440 --> 00:05:15.820]   From
[00:05:15.820 --> 00:05:16.840]   fentanyl
[00:05:16.840 --> 00:05:17.380]  
[00:05:17.380 --> 00:05:17.650]   poison
[00:05:17.650 --> 00:05:17.960]  ings
[00:05:17.960 --> 00:05:18.460]   to
[00:05:18.460 --> 00:05:19.730]   horrific
[00:05:19.730 --> 00:05:20.530]   murders
[00:05:20.530 --> 00:05:20.890]  .
[00:05:20.890 --> 00:05:21.120]   There
[00:05:21.120 --> 00:05:22.370]   are
[00:05:22.370 --> 00:05:22.630]   empty
[00:05:22.630 --> 00:05:23.370]   chairs
[00:05:23.370 --> 00:05:24.390]   tonight
[00:05:24.390 --> 00:05:24.720]   at
[00:05:24.720 --> 00:05:25.240]   kitchen
[00:05:25.240 --> 00:05:25.760]   tables
[00:05:25.760 --> 00:05:26.390]   just
[00:05:26.390 --> 00:05:26.780]   like
[00:05:26.780 --> 00:05:27.500]   this
[00:05:27.500 --> 00:05:27.670]   one
[00:05:27.670 --> 00:05:28.570]   because
[00:05:28.570 --> 00:05:28.860]   of
[00:05:28.860 --> 00:05:30.260]   President
[00:05:30.260 --> 00:05:30.620]   Biden
[00:05:30.620 --> 00:05:30.860]  's
[00:05:30.860 --> 00:05:32.000]   senseless
[00:05:32.000 --> 00:05:32.840]   border
[00:05:32.840 --> 00:05:34.790]   policies
[00:05:34.790 --> 00:05:35.830]  .
[00:05:35.830 --> 00:05:36.520]   Just
[00:05:36.520 --> 00:05:36.950]   think
[00:05:36.950 --> 00:05:37.380]   about
[00:05:37.380 --> 00:05:37.720]   Lake
[00:05:37.720 --> 00:05:37.970]   and
[00:05:37.970 --> 00:05:38.410]   Riley
[00:05:38.410 --> 00:05:38.670]  .
[00:05:38.670 --> 00:05:39.010]   In
[00:05:39.010 --> 00:05:39.060]   my
[00:05:39.060 --> 00:05:40.100]   neighboring
[00:05:40.100 --> 00:05:40.390]   state
[00:05:40.390 --> 00:05:40.570]   of
[00:05:40.570 --> 00:05:41.100]   Georgia
[00:05:41.100 --> 00:05:41.610]  ,
[00:05:41.610 --> 00:05:41.760]   this
[00:05:41.760 --> 00:05:42.840]   beautiful
[00:05:42.840 --> 00:05:42.840]  
[00:05:42.840 --> 00:05:43.480]   22
[00:05:43.480 --> 00:05:43.500]  -
[00:05:43.500 --> 00:05:43.840]  year
[00:05:43.840 --> 00:05:43.930]  -
[00:05:43.930 --> 00:05:44.200]  old
[00:05:44.200 --> 00:05:44.840]   nursing
[00:05:44.840 --> 00:05:45.480]   student
[00:05:45.480 --> 00:05:45.830]   went
[00:05:45.830 --> 00:05:46.220]   out
[00:05:46.220 --> 00:05:46.290]   on
[00:05:46.290 --> 00:05:46.380]   a
[00:05:46.380 --> 00:05:46.650]   jog
[00:05:46.650 --> 00:05:46.920]   one
[00:05:46.920 --> 00:05:47.560]   morning
[00:05:47.560 --> 00:05:47.790]  ,
[00:05:47.790 --> 00:05:48.360]   but
[00:05:48.360 --> 00:05:48.750]   she
[00:05:48.750 --> 00:05:49.410]   never
[00:05:49.410 --> 00:05:50.400]   got
[00:05:50.400 --> 00:05:50.560]   the
[00:05:50.560 --> 00:05:51.650]   opportunity
[00:05:51.650 --> 00:05:51.850]   to
[00:05:51.850 --> 00:05:52.450]   return
[00:05:52.450 --> 00:05:53.090]   home
[00:05:53.090 --> 00:05:53.130]  .
[00:05:53.130 --> 00:05:53.430]   She
[00:05:53.430 --> 00:05:53.730]   was
[00:05:53.730 --> 00:05:54.520]   brutally
[00:05:54.520 --> 00:05:55.330]   murdered
[00:05:55.330 --> 00:05:55.510]   by
[00:05:55.510 --> 00:05:55.810]   one
[00:05:55.810 --> 00:05:56.090]   of
[00:05:56.090 --> 00:05:56.360]   the
[00:05:56.360 --> 00:05:57.000]   millions
[00:05:57.000 --> 00:05:57.590]   of
[00:05:57.590 --> 00:05:58.090]   illegal
[00:05:58.090 --> 00:05:58.810]   border
[00:05:58.810 --> 00:05:59.340]   cross
[00:05:59.340 --> 00:05:59.960]  ers
[00:05:59.960 --> 00:06:01.080]   President
[00:06:01.080 --> 00:06:01.490]   Biden
[00:06:01.490 --> 00:06:01.960]   chose
[00:06:01.960 --> 00:06:02.730]   to
[00:06:02.730 --> 00:06:03.190]   release
[00:06:03.190 --> 00:06:03.720]   into
[00:06:03.720 --> 00:06:03.840]   our
[00:06:03.840 --> 00:06:05.590]   homeland
[00:06:05.590 --> 00:06:05.600]  .
[00:06:05.600 --> 00:06:05.600]  
[00:06:05.600 --> 00:06:05.740]   "
[00:06:05.740 --> 00:06:06.010]  Yo
[00:06:06.010 --> 00:06:06.490]  ,
[00:06:06.490 --> 00:06:06.550]   as
[00:06:06.550 --> 00:06:06.690]   a
[00:06:06.690 --> 00:06:07.100]   mom
[00:06:07.100 --> 00:06:07.370]  ,
[00:06:07.370 --> 00:06:07.510]   I
[00:06:07.510 --> 00:06:07.650]   can
[00:06:07.650 --> 00:06:08.190]  't
[00:06:08.190 --> 00:06:09.130]   quit
[00:06:09.130 --> 00:06:09.860]   thinking
[00:06:09.860 --> 00:06:10.540]   about
[00:06:10.540 --> 00:06:11.090]   this
[00:06:11.090 --> 00:06:11.550]  .
[00:06:11.550 --> 00:06:11.680]   I
[00:06:11.680 --> 00:06:12.340]   mean
[00:06:12.340 --> 00:06:12.400]   this
[00:06:12.400 --> 00:06:12.760]   could
[00:06:12.760 --> 00:06:13.120]   have
[00:06:13.120 --> 00:06:13.320]   been
[00:06:13.320 --> 00:06:13.840]   my
[00:06:13.840 --> 00:06:14.270]   daughter
[00:06:14.270 --> 00:06:15.460]  .
[00:06:15.460 --> 00:06:15.820]   This
[00:06:15.820 --> 00:06:16.910]   could
[00:06:16.910 --> 00:06:17.010]   have
[00:06:17.010 --> 00:06:17.530]   been
[00:06:17.530 --> 00:06:17.990]   yours
[00:06:17.990 --> 00:06:19.080]  .
[00:06:19.080 --> 00:06:19.080]   And
[00:06:19.080 --> 00:06:20.630]   tonight
[00:06:20.630 --> 00:06:21.120]   President
[00:06:21.120 --> 00:06:22.680]   Biden
[00:06:22.680 --> 00:06:23.120]   finally
[00:06:23.120 --> 00:06:23.800]   said
[00:06:23.800 --> 00:06:24.090]   her
[00:06:24.090 --> 00:06:24.460]   name
[00:06:24.460 --> 00:06:24.550]  ,
[00:06:24.550 --> 00:06:24.950]   but
[00:06:24.950 --> 00:06:25.810]   he
[00:06:25.810 --> 00:06:25.830]   refused
[00:06:25.830 --> 00:06:26.000]   to
[00:06:26.000 --> 00:06:26.380]   take
[00:06:26.380 --> 00:06:27.730]   responsibility
[00:06:27.730 --> 00:06:28.020]   for
[00:06:28.020 --> 00:06:28.310]   his
[00:06:28.310 --> 00:06:28.660]   own
[00:06:28.660 --> 00:06:29.190]   actions
[00:06:29.190 --> 00:06:29.600]  .
[00:06:29.600 --> 00:06:29.600]  
[00:06:29.600 --> 00:06:30.180]   Mr
[00:06:30.180 --> 00:06:30.210]  .
[00:06:30.210 --> 00:06:31.230]   President
[00:06:31.230 --> 00:06:31.980]  ,
[00:06:31.980 --> 00:06:32.300]   enough
[00:06:32.300 --> 00:06:32.520]   is
[00:06:32.520 --> 00:06:33.280]   enough
[00:06:33.280 --> 00:06:33.650]  .
[00:06:33.650 --> 00:06:34.810]   Innocent
[00:06:34.810 --> 00:06:35.750]   Americans
[00:06:35.750 --> 00:06:36.130]   are
[00:06:36.130 --> 00:06:36.740]   dying
[00:06:36.740 --> 00:06:37.030]  ,
[00:06:37.030 --> 00:06:37.430]   and
[00:06:37.430 --> 00:06:37.760]   you
[00:06:37.760 --> 00:06:38.240]   only
[00:06:38.240 --> 00:06:38.840]   have
[00:06:38.840 --> 00:06:39.930]   yourself
[00:06:39.930 --> 00:06:40.000]   to
[00:06:40.000 --> 00:06:40.530]   blame
[00:06:40.530 --> 00:06:40.920]  .
[00:06:40.920 --> 00:06:41.040]   F
[00:06:41.040 --> 00:06:41.560]  ulf
[00:06:41.560 --> 00:06:41.860]  ill
[00:06:41.860 --> 00:06:42.260]   your
[00:06:42.260 --> 00:06:42.660]   oath
[00:06:42.660 --> 00:06:43.030]   of
[00:06:43.030 --> 00:06:43.580]   office
[00:06:43.580 --> 00:06:44.270]  ,
[00:06:44.270 --> 00:06:44.760]   reverse
[00:06:44.760 --> 00:06:45.400]   your
[00:06:45.400 --> 00:06:45.940]   policies
[00:06:45.940 --> 00:06:46.080]  ,
[00:06:46.080 --> 00:06:46.970]   end
[00:06:46.970 --> 00:06:47.360]   this
[00:06:47.360 --> 00:06:48.490]   crisis
[00:06:48.490 --> 00:06:49.070]   and
[00:06:49.070 --> 00:06:49.830]   stop
[00:06:49.830 --> 00:06:50.400]   the
[00:06:50.400 --> 00:06:52.090]   suffering
[00:06:52.090 --> 00:06:52.720]  .
[00:06:52.720 --> 00:06:53.760]   Sadly
[00:06:53.760 --> 00:06:53.800]  ,
[00:06:53.800 --> 00:06:54.110]   we
[00:06:54.110 --> 00:06:54.720]   know
[00:06:54.720 --> 00:06:55.390]   that
[00:06:55.390 --> 00:06:56.770]   President
[00:06:56.770 --> 00:06:56.980]   Biden
[00:06:56.980 --> 00:06:57.080]  's
[00:06:57.080 --> 00:06:57.480]   failures
[00:06:57.480 --> 00:06:57.480]  
[00:06:57.480 --> 00:06:57.770]   don
[00:06:57.770 --> 00:06:57.960]  't
[00:06:57.960 --> 00:06:58.300]   stop
[00:06:58.300 --> 00:06:58.820]   there
[00:06:58.820 --> 00:06:59.120]  .
[00:06:59.120 --> 00:06:59.620]   His
[00:06:59.620 --> 00:07:00.200]   reckless
[00:07:00.200 --> 00:07:01.100]   spending
[00:07:01.100 --> 00:07:01.260]   dug
[00:07:01.260 --> 00:07:01.600]   our
[00:07:01.600 --> 00:07:02.280]   economy
[00:07:02.280 --> 00:07:02.640]   into
[00:07:02.640 --> 00:07:02.720]   a
[00:07:02.720 --> 00:07:03.040]   hole
[00:07:03.040 --> 00:07:03.320]   and
[00:07:03.320 --> 00:07:03.960]   sent
[00:07:03.960 --> 00:07:04.000]   the
[00:07:04.000 --> 00:07:04.520]   cost
[00:07:04.520 --> 00:07:04.730]   of
[00:07:04.730 --> 00:07:05.550]   living
[00:07:05.550 --> 00:07:06.310]   through
[00:07:06.310 --> 00:07:06.510]   the
[00:07:06.510 --> 00:07:07.150]   roof
[00:07:07.150 --> 00:07:07.560]  .
[00:07:07.560 --> 00:07:07.910]   We
[00:07:07.910 --> 00:07:08.200]   have
[00:07:08.200 --> 00:07:08.520]   the
[00:07:08.520 --> 00:07:09.060]   worst
[00:07:09.060 --> 00:07:10.200]   inflation
[00:07:10.200 --> 00:07:10.490]   in
[00:07:10.490 --> 00:07:10.890]   40
[00:07:10.890 --> 00:07:11.440]   years
[00:07:11.440 --> 00:07:12.180]   and
[00:07:12.180 --> 00:07:12.400]   the
[00:07:12.400 --> 00:07:13.030]   highest
[00:07:13.030 --> 00:07:13.570]   credit
[00:07:13.570 --> 00:07:13.930]   card
[00:07:13.930 --> 00:07:14.290]   debt
[00:07:14.290 --> 00:07:14.470]   in
[00:07:14.470 --> 00:07:14.740]   our
[00:07:14.740 --> 00:07:15.280]   nation
[00:07:15.280 --> 00:07:15.740]  's
[00:07:15.740 --> 00:07:16.110]   history
[00:07:16.110 --> 00:07:16.390]  .
[00:07:16.390 --> 00:07:16.850]   Let
[00:07:16.850 --> 00:07:17.260]   that
[00:07:17.260 --> 00:07:17.600]   sink
[00:07:17.600 --> 00:07:17.660]   in
[00:07:17.660 --> 00:07:18.160]  .
[00:07:18.160 --> 00:07:18.990]   Hard
[00:07:18.990 --> 00:07:19.020]  working
[00:07:19.020 --> 00:07:19.690]   families
[00:07:19.690 --> 00:07:19.880]   are
[00:07:19.880 --> 00:07:20.660]   struggling
[00:07:20.660 --> 00:07:20.810]   to
[00:07:20.810 --> 00:07:21.120]   make
[00:07:21.120 --> 00:07:21.510]   ends
[00:07:21.510 --> 00:07:21.640]   me
[00:07:21.640 --> 00:07:22.910]   today
[00:07:22.910 --> 00:07:23.350]   and
[00:07:23.350 --> 00:07:23.920]   with
[00:07:23.920 --> 00:07:24.240]   soaring
[00:07:24.240 --> 00:07:24.240]  
[00:07:24.240 --> 00:07:25.050]   mortgage
[00:07:25.050 --> 00:07:25.570]   rates
[00:07:25.570 --> 00:07:25.900]   and
[00:07:25.900 --> 00:07:26.190]   sky
[00:07:26.190 --> 00:07:26.500]  -
[00:07:26.500 --> 00:07:26.700]  high
[00:07:26.700 --> 00:07:27.630]   childcare
[00:07:27.630 --> 00:07:28.060]   costs
[00:07:28.060 --> 00:07:28.460]  .
[00:07:28.460 --> 00:07:28.950]   They
[00:07:28.950 --> 00:07:29.000]  're
[00:07:29.000 --> 00:07:29.240]   also
[00:07:29.240 --> 00:07:30.040]   struggling
[00:07:30.040 --> 00:07:30.600]   to
[00:07:30.600 --> 00:07:30.840]   have
[00:07:30.840 --> 00:07:30.840]   a
[00:07:30.840 --> 00:07:31.570]   plan
[00:07:31.570 --> 00:07:32.120]   for
[00:07:32.120 --> 00:07:33.590]   tomorrow
[00:07:33.590 --> 00:07:34.160]  .
[00:07:34.160 --> 00:07:35.010]   The
[00:07:35.010 --> 00:07:35.530]   American
[00:07:35.530 --> 00:07:36.630]   people
[00:07:36.630 --> 00:07:36.680]   are
[00:07:36.680 --> 00:07:37.400]   scraping
[00:07:37.400 --> 00:07:38.590]   by
[00:07:38.590 --> 00:07:38.760]   while
[00:07:38.760 --> 00:07:40.000]   President
[00:07:40.000 --> 00:07:40.280]   Biden
[00:07:40.280 --> 00:07:41.060]   proudly
[00:07:41.060 --> 00:07:41.960]   proclaim
[00:07:41.960 --> 00:07:42.070]  s
[00:07:42.070 --> 00:07:42.530]   that
[00:07:42.530 --> 00:07:42.630]   "
[00:07:42.630 --> 00:07:42.810]  B
[00:07:42.810 --> 00:07:43.190]  iden
[00:07:43.190 --> 00:07:43.910]  omics
[00:07:43.910 --> 00:07:43.970]   is
[00:07:43.970 --> 00:07:44.750]   working
[00:07:44.750 --> 00:07:45.220]  ."
[00:07:45.220 --> 00:07:45.740]   Good
[00:07:45.740 --> 00:07:46.300]  ness
[00:07:46.300 --> 00:07:46.360]   y
[00:07:46.360 --> 00:07:46.480]  '
[00:07:46.480 --> 00:07:46.850]  all
[00:07:46.850 --> 00:07:47.350]  ,
[00:07:47.350 --> 00:07:47.760]   bless
[00:07:47.760 --> 00:07:47.980]   his
[00:07:47.980 --> 00:07:48.240]   heart
[00:07:48.240 --> 00:07:48.240]  .
[00:07:48.240 --> 00:07:48.240]  
[00:07:48.240 --> 00:07:49.150]   We
[00:07:49.150 --> 00:07:50.230]   know
[00:07:50.230 --> 00:07:53.240]   better
[00:07:53.240 --> 00:07:53.250]  .
[00:07:53.250 --> 00:07:53.300]   I
[00:07:53.300 --> 00:07:53.480]  'll
[00:07:53.480 --> 00:07:53.820]   never
[00:07:53.820 --> 00:07:54.430]   forget
[00:07:54.430 --> 00:07:54.650]   stopping
[00:07:54.650 --> 00:07:54.770]   at
[00:07:54.770 --> 00:07:54.830]   a
[00:07:54.830 --> 00:07:55.010]   gas
[00:07:55.010 --> 00:07:55.440]   station
[00:07:55.440 --> 00:07:55.600]   in
[00:07:55.600 --> 00:07:55.730]   Ch
[00:07:55.730 --> 00:07:56.060]  ilton
[00:07:56.060 --> 00:07:56.460]   County
[00:07:56.460 --> 00:07:56.660]   one
[00:07:56.660 --> 00:07:57.110]   evening
[00:07:57.110 --> 00:07:57.520]  .
[00:07:57.520 --> 00:07:57.580]   The
[00:07:57.580 --> 00:07:58.120]   gentleman
[00:07:58.120 --> 00:07:58.580]   working
[00:07:58.580 --> 00:07:58.770]   the
[00:07:58.770 --> 00:07:59.240]   counter
[00:07:59.240 --> 00:07:59.520]   told
[00:07:59.520 --> 00:07:59.680]   me
[00:07:59.680 --> 00:07:59.870]   that
[00:07:59.870 --> 00:08:00.440]   after
[00:08:00.440 --> 00:08:01.220]   retiring
[00:08:01.220 --> 00:08:01.370]  ,
[00:08:01.370 --> 00:08:01.890]   he
[00:08:01.890 --> 00:08:01.970]   had
[00:08:01.970 --> 00:08:02.080]   to
[00:08:02.080 --> 00:08:02.460]   pick
[00:08:02.460 --> 00:08:02.660]   up
[00:08:02.660 --> 00:08:02.750]   a
[00:08:02.750 --> 00:08:03.040]   job
[00:08:03.040 --> 00:08:03.230]   in
[00:08:03.230 --> 00:08:03.520]   his
[00:08:03.520 --> 00:08:04.100]   70
[00:08:04.100 --> 00:08:04.370]  s
[00:08:04.370 --> 00:08:04.380]   so
[00:08:04.380 --> 00:08:04.770]   that
[00:08:04.770 --> 00:08:05.350]   he
[00:08:05.350 --> 00:08:05.360]   didn
[00:08:05.360 --> 00:08:05.540]  't
[00:08:05.540 --> 00:08:05.930]   have
[00:08:05.930 --> 00:08:06.300]   to
[00:08:06.300 --> 00:08:06.480]   choose
[00:08:06.480 --> 00:08:07.090]   between
[00:08:07.090 --> 00:08:07.510]   going
[00:08:07.510 --> 00:08:08.030]   hungry
[00:08:08.030 --> 00:08:08.550]   or
[00:08:08.550 --> 00:08:08.630]   going
[00:08:08.630 --> 00:08:09.230]   without
[00:08:09.230 --> 00:08:09.520]   his
[00:08:09.520 --> 00:08:10.350]   medication
[00:08:10.350 --> 00:08:10.490]  .
[00:08:10.490 --> 00:08:11.350]   He
[00:08:11.350 --> 00:08:11.570]   said
[00:08:11.570 --> 00:08:11.890]  ,
[00:08:11.890 --> 00:08:11.960]   "
[00:08:11.960 --> 00:08:12.050]  I
[00:08:12.050 --> 00:08:12.310]   did
[00:08:12.310 --> 00:08:12.880]   everything
[00:08:12.880 --> 00:08:13.270]   right
[00:08:13.270 --> 00:08:13.490]  .
[00:08:13.490 --> 00:08:13.820]   I
[00:08:13.820 --> 00:08:13.820]   did
[00:08:13.820 --> 00:08:14.680]   everything
[00:08:14.680 --> 00:08:14.690]   I
[00:08:14.690 --> 00:08:14.930]   was
[00:08:14.930 --> 00:08:15.260]   told
[00:08:15.260 --> 00:08:15.400]   to
[00:08:15.400 --> 00:08:15.560]   do
[00:08:15.560 --> 00:08:15.790]  .
[00:08:15.790 --> 00:08:15.920]   I
[00:08:15.920 --> 00:08:16.330]   worked
[00:08:16.330 --> 00:08:16.470]   hard
[00:08:16.470 --> 00:08:16.650]  .
[00:08:16.650 --> 00:08:16.700]   I
[00:08:16.700 --> 00:08:17.000]   saved
[00:08:17.000 --> 00:08:17.190]  .
[00:08:17.190 --> 00:08:17.240]   I
[00:08:17.240 --> 00:08:17.440]   was
[00:08:17.440 --> 00:08:18.150]   responsible
[00:08:18.150 --> 00:08:18.200]  .
[00:08:18.200 --> 00:08:18.200]  
[00:08:18.200 --> 00:08:18.340]   He
[00:08:18.340 --> 00:08:18.920]  's
[00:08:18.920 --> 00:08:20.000]   not
[00:08:20.000 --> 00:08:20.390]   alone
[00:08:20.390 --> 00:08:20.950]  .
[00:08:20.950 --> 00:08:21.060]   I
[00:08:21.060 --> 00:08:21.880]   hear
[00:08:21.880 --> 00:08:22.180]   similar
[00:08:22.180 --> 00:08:23.010]   concerns
[00:08:23.010 --> 00:08:23.460]   from
[00:08:23.460 --> 00:08:24.040]   fellow
[00:08:24.040 --> 00:08:24.600]   parents
[00:08:24.600 --> 00:08:25.150]  ,
[00:08:25.150 --> 00:08:25.280]   whether
[00:08:25.280 --> 00:08:25.400]   I
[00:08:25.400 --> 00:08:25.640]   am
[00:08:25.640 --> 00:08:25.920]   walking
[00:08:25.920 --> 00:08:26.290]   with
[00:08:26.290 --> 00:08:26.660]   my
[00:08:26.660 --> 00:08:27.070]   friends
